,Date,Price,Open,High,Low,Vol.,Change %
Definition,Data date,Close price(24:00 on that day),Open price(00:00 on that day),Highest price on that day,Lowest price on that day,Bitcoin number*close price,
,2-28,"23,130.50","23,494.00","23,595.00","23,033.80",275.10K,-1.55%
,2-27,"23,494.10","23,558.70","23,876.20","23,166.80",297.65K,-0.27%
,2-26,"23,558.70","23,166.10","23,671.80","23,066.00",209.12K,1.69%
,2-25,"23,166.10","23,191.30","23,215.30","22,777.40",198.35K,-0.11%
,2-24,"23,191.50","23,936.40","24,123.40","22,970.30",367.99K,-3.11%
,2-23,"23,936.30","24,186.60","24,590.40","23,637.90",417.46K,-1.03%
,2-22,"24,186.60","24,450.70","24,474.30","23,593.40",400.24K,-1.08%
,2-21,"24,450.70","24,839.50","25,236.80","24,160.80",395.97K,-1.57%
,2-20,"24,839.50","24,302.80","25,085.40","23,868.60",363.02K,2.21%
,2-19,"24,302.90","24,631.30","25,175.20","24,273.70",312.64K,-1.33%
,2-18,"24,631.40","24,573.50","24,838.90","24,457.00",223.77K,0.24%
,2-17,"24,573.50","23,538.20","24,984.70","23,373.00",523.85K,4.39%
,2-16,"23,539.60","24,328.10","25,233.80","23,525.90",484.50K,-3.24%
,2-15,"24,327.90","22,198.50","24,330.90","22,050.80",401.53K,9.59%
,2-14,"22,198.50","21,776.90","22,308.60","21,556.20",378.39K,1.96%
,2-13,"21,772.60","21,782.70","21,887.50","21,418.70",312.04K,-0.07%
,2-12,"21,786.80","21,859.90","22,080.70","21,653.10",211.65K,-0.33%
,2-11,"21,859.80","21,627.40","21,902.90","21,605.30",182.07K,1.04%
,2-10,"21,635.00","21,792.50","21,933.60","21,491.70",352.79K,-0.72%
,2-9,"21,792.50","22,964.60","23,003.60","21,744.60",425.44K,-5.10%
,2-8,"22,964.60","23,251.70","23,425.10","22,691.70",289.12K,-1.23%
,2-7,"23,251.70","22,761.80","23,338.80","22,748.20",318.98K,2.15%
,2-6,"22,761.80","22,936.00","23,130.60","22,633.70",278.58K,-0.76%
,2-5,"22,936.00","23,326.90","23,423.40","22,766.50",217.26K,-1.66%
,2-4,"23,323.80","23,431.20","23,571.80","23,269.80",170.27K,-0.46%
,2-3,"23,431.20","23,429.10","23,694.10","23,233.80",349.36K,0.02%
,2-2,"23,427.60","23,726.20","24,207.20","23,398.10",382.86K,-1.26%
,2-1,"23,725.60","23,124.70","23,784.50","22,809.60",333.18K,2.60%